feature,coefficient,odds_ratio,absolute_coefficient
A1Cresult_>8,-0.11697748764669123,0.8896052200450033,0.11697748764669123
A1Cresult_Missing,0.028331918613941548,1.0287370847470088,0.028331918613941548
A1Cresult_Norm,-0.07986328402528241,0.9232425597652058,0.07986328402528241
metformin_Down,0.19788572797594756,1.2188231084800174,0.19788572797594756
metformin_No,-0.015687870036784145,0.98443454362384,0.015687870036784145
metformin_Steady,-0.12522454370971844,0.8822987657023018,0.12522454370971844
metformin_Up,-0.30631208585252784,0.7361568394675839,0.30631208585252784
repaglinide_Down,-0.6129213709878558,0.5417658559423114,0.6129213709878558
repaglinide_No,0.007047643362234128,1.0070725364455446,0.007047643362234128
repaglinide_Steady,0.026523252802974854,1.0268781247787861,0.026523252802974854
repaglinide_Up,0.33001170320689655,1.3909844073468316,0.33001170320689655
nateglinide_Down,-0.02639754308954309,0.9739478264089807,0.02639754308954309
nateglinide_No,0.001357334884205117,1.0013582564801233,0.001357334884205117
nateglinide_Steady,0.15515501448127691,1.1678389790281118,0.15515501448127691
nateglinide_Up,-0.37945357790442014,0.684235188307942,0.37945357790442014
chlorpropamide_Down,-0.06281264558670502,0.9391194053730375,0.06281264558670502
chlorpropamide_No,0.2524413675202461,1.2871640243236704,0.2524413675202461
chlorpropamide_Steady,-0.1485598853768656,0.8619483875208577,0.1485598853768656
chlorpropamide_Up,-0.2904076081860198,0.7479586313745883,0.2904076081860198
glimepiride_Down,0.05288954746528764,1.0543131871240354,0.05288954746528764
glimepiride_No,-0.05993096620299246,0.941829549410008,0.05993096620299246
glimepiride_Steady,-0.20472741226168562,0.814869409549477,0.20472741226168562
glimepiride_Up,-0.037569940614357415,0.9631270536672698,0.037569940614357415
acetohexamide_No,-0.03824262004215337,0.9624793957694082,0.03824262004215337
acetohexamide_Steady,-0.21109615158612388,0.809696209563456,0.21109615158612388
glipizide_Down,0.08958215002047523,1.0937171785105166,0.08958215002047523
glipizide_No,-0.14958828462085996,0.8610624160950253,0.14958828462085996
glipizide_Steady,-0.15504548735136064,0.8563762223115152,0.15504548735136064
glipizide_Up,-0.03428714963403569,0.966293993829151,0.03428714963403569
glyburide_Down,-0.20256168812506736,0.816636104294119,0.20256168812506736
glyburide_No,0.01177545226700621,1.0118450558412722,0.01177545226700621
glyburide_Steady,-0.03678611142979374,0.9638822767046392,0.03678611142979374
glyburide_Up,-0.021766424321222933,0.9784687548654156,0.021766424321222933
tolbutamide_No,0.04978199426577484,1.0510419382285916,0.04978199426577484
tolbutamide_Steady,-0.299120765894955,0.7414698597566501,0.299120765894955
pioglitazone_Down,0.20349656746761166,1.2256809504444262,0.20349656746761166
pioglitazone_No,-0.13062781093049183,0.8775443260239548,0.13062781093049183
pioglitazone_Steady,-0.19974195450151866,0.8189420501242352,0.19974195450151866
pioglitazone_Up,-0.12246557364979288,0.8847363626630685,0.12246557364979288
rosiglitazone_Down,-0.3738334326275186,0.6880915158798935,0.3738334326275186
rosiglitazone_No,0.05811804945992773,1.0598401018774208,0.05811804945992773
rosiglitazone_Steady,-0.009326296291344243,0.9907170587246527,0.009326296291344243
rosiglitazone_Up,0.07570290784553001,1.0786420704534603,0.07570290784553001
acarbose_No,-0.16366377841674157,0.8490274352449593,0.16366377841674157
acarbose_Steady,-0.528122167623224,0.5897113095828918,0.528122167623224
acarbose_Up,0.44244717441163706,1.5565116169999529,0.44244717441163706
miglitol_No,0.12222340653856983,1.1300065244290176,0.12222340653856983
miglitol_Steady,-0.3715621781677957,0.6896561229418188,0.3715621781677957
troglitazone_No,0.024879782334553294,1.0251918669430695,0.024879782334553294
troglitazone_Steady,-0.2742185539631531,0.7601659198301467,0.2742185539631531
tolazamide_No,0.09162676471216905,1.0959556963957007,0.09162676471216905
